review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R18JW4G8BDMSX1,B0BXW4KKXK,"5.0 out of 5 stars The Marvelous, Magnificent Microdot!",space kiddet,5,"I needed these speakers to compensate for the classic conundrum clash, consumers have little choice to choose between the splendidly superb & spectacular 10-bit color as well as the crystal clear clarity (e.g.) the 32"" class Samsung Q60A panel versus its anorexic sound due to contemporary esthetics in addition to the unprecedentedly bizarre clause in our apartment that bars bringing in items unless brought by the owner! which precludes me from having to pass up more appropriate $300-$400 soundbars! Nevertheless, I hope I solved the sound issue scourging modern tellies!Out Of Box ExperienceUpon delivery via one of my siblings On Wednesday 27th December 2023, I was impressed with the brawniness of the boxes as well as the Rubix cube-style, Matryoshka doll challenge exclusively to open it up which began with an outside sleeve which introduced its newly minted owner to the speaker's attributes in polyglot languages; then came the sleeve separating the two levels of cellophane wrap as well as the foam which looks to be a half-inch thick holding the 2.3' USB-C to C cable designed to be used with a wall charger, a Safety & 10 page Quick Start pamphlets, @ the top there's a UPC, the International Environmental & Radio regulationatory agencies this device has to conform to before being approved for sale on the global markets. Finally, at the bottom, a serial number UPC!ConstructionThis Motion X600 consists of a three-part fabrication; a handle & grill forged from aluminum on the front with a color-coordinated plastic posterior available in ""Polar Black"", ""Lunar Blue"" and ""Aurora Green""upon visual inspection is difficult to discern where the aluminum metal ends & the plastic begins! Meanwhile, the handle has respectively, ""Spatial Harmony"" & ""High Fidelity Audio"" in block font along the bottom left & right ends of the handle as well as ""Soundcore"" in stylized lettering on the top right. The ridges that aid grip-ability are located in the bottom middle part while the perimeter periphery is smooth. Staying in the back has a unique rubber stop flap which guarantees the X600 its Ingress Protection Level 7 status that enables the speaker can handle H2O from misting & condensation up to an accidential dunk up to a meter for 30 minutes. the rear also conceals a passive radiator, linked to the Midrange ""Sky Driver"" but helps the system sound better via Digital Sound Processing, a USB-C port as well as a 1/8"" auxiliary jack.Driver ConfigurationThe Anker Soundcore Motion X600 Speaker System is a 3-way, quintuple driver powered by 5 amplifiers producing 10-watt RMS for a total of 50 watts RMS configured as twin 2.06"" woofers, duo 1.06"" tweeters & a unique 1.92"" passive radiator augmented midrange ""Sky Driver"" Spatial Driver is controlled by a 12 core Intel i7 12700K processor clocked from 3.6-5.0 GHz, ohm: N/A, Frequency Response: 48-40,000Hz+- 2.84dB, Horizontal Dispersion, 5.49dB, Signal to Noise Ratio: 72dB, Total Harmonic Distortion: <1%, Sensitivity, 92.1dB, Crossover: 54Hz, 2,500 Hz & 19,100Hz, Battery, SW-34MP2S2P; 6400mAh Dimensions: 6.25"" High x 11.75"" Wide x 3.88"" deep, Weight: 5.17lbs.I charged my first Motion X600 with a 45watt Samsung wall charger connected to a 100watt Anker cable taking 4.5 hours to charge while the 2nd X600 was charged using an Anker 30watt wall charger with a second 100watt cable connected to two of the 8 electrical outlets which was done in 5 hours.When both speakers completed their compulsory charging session, on Thursday, December 28th, 2023, most of the scribes advised switching on both the Spatial Audio & Bass Buttons to mitigate its mettle as well as promote the prowess of the Motion X600 otherwise owners would likely feel the engineering savants were snookering them impacting future sales.Eargasmic Ecstasy!That began when I decided to play my 450-song Latino 🎄Carols playlist on YouTube Music designed to tide me over a 13-hour journey from Gastonia, North Carolina to Philadelphia! Once I activated, the 15-segment equalizer, the Spatial & Bass buttons It was 😱WOW!!!, WOW SQUARED!!!!!!, WOW CUBED!!!!!!!!!! 😲 It was as if I heard the music for the first time! for it sent chills through my body to not just the 🦴s but the bone marrow! Which is exactly how good the X600s are! Sibling #6 was as duly impressed with the speakers as he was with my Q60A panel when was deployed 21 months ago! for he considers them Home Theater caliber!This was confirmed on Three Kings Day/Epiphany; January 6, 2024, when after still trying to use the Soundcore app to no avail, it was not only severing The True Wireless Stereo bond but replaced the X600 pairing with the generic LG driver on the TV which necessitated a speaker reset so in despair, I watched ""Terminator; Judgment Day"" & realized how good the X600 sounded as normal solitary speakers when I could readily discern where the various soundtrack aspects occurred via the individual speaker drivers! Once I reset the speaker it started at maximum volume which almost got us reported by the next-door neighbors for bringing the noise! After a successful reset, and recharge (for 7 & 8 hours) which for an idiosyncratic orientation, included playing the YouTube playlist, I watched & thoroughly enjoyed the lush, vigorously robust soundtrack of ""Wonder Woman 1984"" & Quite honestly, What I heard through my 👂holes brought me back to when I had my last CRT, The NEC 2030S & my first LCD panel, the Samsung LN-T1954 when TVs had enough space to include decent stereo sound to match their displays!The Soundcore AppIt's an authentic atrocity that this program is oriented toward audio music when the Motion X600 itself can adapt itself to Audio/Video Home Theater & worse yet when I called Anker Innovations Tech Support on January 2nd, they confirmed its bias toward record collections because every time I endeavor to utilize its features, it shut down the TRUE WIRELESS STEREO facet which is the reason why I strived to save the >$200 more to score the second speaker! which rendered the other speaker as mute as a mime, furthermore, the app caused more agita by making it more problematic to pair with my Samsung Q60A panel! I sincerely wish and desire that this Cucaracha is finally fumigated from future updates ASAP! STAT! In addition from December 28th, 2023, when I first tried to establish a legitimate Soundcore Account it wouldn't recognize it even though I followed the procedure precisely to the letter!ConclusionI'm happy that the operation of these Anker Soundcore Motion X600 speaker systems isn't dependent upon this program because they sound incredibly amazing, augmented by its uniquely innovative design & technologies both external & internal, its configuration and price. And the President Grant-sized discount on top makes it even more of a steal of a deal!Addendum: Monday 12 February, 2024One of my pet peeves with my pair is that I had to sync it with the YouTube Music account before working successfully with my panel; for the past month after subsequent charging sessions, that weirdness has vanished. Both speakers hook up normally, provided that the owner/operator powers them in the proper sequenceAlso, I acquired the 45-watt Anker 313 wall charger for the 2nd speaker to have them fully charged & ready at the same time enhancing my satisfaction with these speakers.","Reviewed in the United States January 8, 2024",AHR2HVADX4IGRM7V267GYCXJMM5Q,True,15,Color: Black
R1THO542WOEKRY,B0BXW4KKXK,"5.0 out of 5 stars Easy to carry, excellent sound and power!",ddz,5,"I bought a pair of Anker buds a couple of years ago and have been super happy with their sound and the function of their app/bluetooth connectivity, so when I wanted a home bluetooth device, I knew I wanted Anker. I am SO happy with this purchase!!The sound is AMAZING, the retro-yet-modern old school radio styling is super sleek and attractive, and it is easy for me to carry around the house (I have a 2 story townhome) thanks to the handle. I love the speakers on all sides -- it really has power and fills big rooms with clear, crisp sound. It does run down a charge fairly quickly, but charges relatively fast. I never have any issues connecting to my phone or with signal droppage and the app is user friendly and allows you to adjust sound -- it is my favorite purchase of the past year and I use it constantly.","Reviewed in the United States April 16, 2024",AEC6ZQFS6UO5WTINL46LGZ2YVYJQ,True,2,Color: Blue (Lunar Blue)
R2YABD856Q74QN,B0BXW4KKXK,5.0 out of 5 stars Love it when my expectations are exceeded,GDS,5,"As soon as I turned on these speakers, my ears were happy. I've had several speakers from Bose and other brands over the years, but these speakers take the prize. They are beautifully designed and engineered, and the sound is rich and spacial with a balanced sound. Bass is perfect, not too much, not to little, for listeners who are not into booming their music and unlike so many other speakers that overdo the bass. The app works very well to equalize the sound. Ramping up the volume does not distort the music. I couldn't be happier with this purchase.Soundcore stands by their products. A few weeks ago I bought a pair of Soundcore earbuds that sounded great, but they malfunctioned in a few days. Through the app I requested warranty service and 2 days later the company shipped me a new pair of earbuds.This brand has great products at the right price. I'm sold.","Reviewed in the United States July 19, 2024",AHUL6RFSCI26BFX3TC3LVIQ55ANA,True,1,Color: Black
R3IPNT575ZDTWH,B0BXW4KKXK,5.0 out of 5 stars Best Sounding Bluetooth Speaker for under $200,Mac Geek,5,"I own MANY bluetooth speakers. Bose, Harman Kardon, Alexa Echo, other SoundCore and Apple to name just a few. This is the best sounding speaker at this price point! Great full sound and lots of bass. Very high quality material. Also it looks as good as it sounds. Even at half power, it louder and (and sounds better) than the other speakers I have at full power. It really fills the room with a huge sound stage giving you rich full sound. The spatial audio feature on Apple Music sounds amazing, you will hear instruments in a song you maybe have heard a hundred times for the first time in Spatial Audio. The built in handle makes it very easy to carry around with you and it is still small enough to toss in your weekend bag or your beach bag to take the music with you on the go. I just wish the handle was foldable to make even more compact in your bag.Pros:Lots of bang for your buckBuilt in spatial audioBass boostAmazing sound stageCustomizable EQGreat looking designCons:Non foldable handleBattery is 12 hour battery but can take up to 6 hours to rechargea tad on the heavy side compared to other same sized speakersThe cons are not big and I do not think they would be enough to keep anyone from buying one","Reviewed in the United States March 4, 2024",AFESPPS76OCDJS5TFP5FNZYE6FPQ,True,19,Color: Black
RI9EV9603R8U0,B0BXW4KKXK,4.0 out of 5 stars The other reviews are not joking!,Jerry Kindall,4,"The most important thing about any Bluetooth speaker is the sound. I am rather picky with audio quality and most products need some tweaking to meet my standards, and some can't meet them at all. This unit has very good sound, especially at close range. It turns up pretty loud, too (to fill a room you only need to turn it up to the second or third notch) and does a fine job outside when cranked up sufficiently. Of course the louder you play it, the shorter the battery life.The pairing is easy; just turning it on for the first time activated pairing, and my Pixel phone immediately recognized it without me even having to choose it in the list of devices available to pair. That process prompted me to install the app as well. Very slick.The app is good and has some unexpected nice features (for example, you can play/pause whatever app you're using to actually play music from the Soundcore app, so you don't have to keep switching back and forth). It feels more polished than the one LG provides for its XBOOM Bluetooth speakers, for example.The default ""Soundcore Signature"" equalization curve is good, and shows off the speaker's capabilities nicely, but you can also tweak the equalizer however you like. When you turn up the treble it's really there, sounds natural and not tinny or distorted. Same with the bass, which is solid and not boomy. It's not one of those bass enhancer things that uses psychoacoustic principles to give the impression of more bass; it's really there and it can rattle the table.As far as i can tell, the EQ and spatialization features are functions of the speaker itself; the app is not doing the audio processing on the phone, just changing the speaker's features. So once you have the speaker set up the way you want, you could remove the app. Speaking of the spatialization, it's reasonably effective at close range but if you're across the room from it, it doesn't do much, as you might expect. I haven't tried spatial audio on it, though, just stereo.This product shows a pleasing thoughtfulness and attention to detail all the way around, from build quality to the app to the sound. On Prime Day the price was certainly right and I'm glad I pulled the trigger.","Reviewed in the United States July 14, 2023",AGIY3WBHRMCHOY2SY2527UBYGZWA,True,44,Color: Black
R3MHT3B4OBZW54,B0BXW4KKXK,5.0 out of 5 stars Quality Speaker,@SteveG,5,"I had bought Anker ear buds last year which were excellent for the money so when I was looking and saw this speaker with a $50 coupon and high ratings, I pulled the trigger and ordered it without much thought. Being a musician who usually takes about 3+ months of research to buy any piece of audio equipment, this was a big step for me LOL.All I can say is that this speaker has been great so far. It's a very cool, clean, modern looking speaker. The construction feels solid and durable and having the handle to carry it around from place to place is more of a plus than I thought it would be. The sound quality is excellent, bass is very good at low to medium volumes but gets lost a bit when you really turn it up (or that could just be my aging ears), and it is loud! I didn't notice any significant distortion at high volumes and the overall clarity and presence of the individual instruments was very good. I tested a variety of musical genres (jazz, rock, pop, punk, ska, hip hop, rap, classical) and all sounded good to great.The Anker app is great and gives you more flexibility with the EQ settings as well as showing the battery level of the speaker. The voice prompt when you power on/off isn't obnoxious like some other speakers I've heard, it's just a tone but you can also turn it on and off in the Anker app. Since I already had the app for my earbuds, I just needed to add the speaker to my devices in the app (click of a button) and I was good to go.The battery life seems solid. It does take a while to charge fully (about 6 hours) but from what I read you can charge while using it in a pinch, but you shouldn't do that all the time or it can cause damage to the battery. I tend to listen at a fairly loud volume most of the time and after listening to music for about 4 hours using the BassUp and Spatial features on, the battery level is still showing as about 60%-65% so I'd expect to get about another 6-8 hours before I have to recharge.In short, I am very happy with the speaker and would definitely recommend it. I am definitely considering getting a second to have stereo pairing.","Reviewed in the United States January 4, 2024",AE5C6NE3B7256J6VUL7XGRKF2HXQ,True,36,Color: Black
R357RW31AHPRPL,B0BXW4KKXK,5.0 out of 5 stars What’s not to like,B. Gravitt,5,"Living in a RV carries a unique set of parameters u need to follow. Biggest ne is space for things like a stero system. However, you can get a very good Bluetooth speaker. It too me a bit t choose on this one. The outside it is built like a tank. No plastic for main parts. The keypad works very well. The handle does not move which I see is a minor problem. The. Sound is very amazing. It punches above its weight there. The Spatial sound as well a base response is excellent.both have a switch to turn each on and off. There is a App that handles a lot, but especially the EQ. It has several profiles already and you can also make your own. It was a good price during Prime Days. Also, you can run two ofthem the way the. App is set up. Pair one to music source and then pair the second to first. May do in future.","Reviewed in the United States July 18, 2024",AEB6BYXTXG7RFTSUDD5BYBQB2VFQ,True,2,Color: Blue (Lunar Blue)
R1ENJU3Y5FRBPB,B0BXW4KKXK,5.0 out of 5 stars Punches way above its size and price point,JD,5,"I got the Soundcore Motion X600 for $150, at the time there was a $50 off coupon which they seem to do occasionally.I am not crazy deep into audiophile stuff but I enjoy good sound quality. I own several pairs of Sennheiser headphones and the quality of the Soundcore seems comparable to the best of them in my opinion, of course it is a speaker not a headphone. One of the reasons I got this was so my wife would have a speaker to play stuff through and I wouldn't have to listen to a tinny iPhone speaker struggling for dear life.I thought the spatial audio thing was a gimmick but it's like some sort of magic. You have to hear this speaker in person to believe it. Online video reviews don't do it justice.Music is balanced and crisp. Listening to a podcast is like the host is right in the room with you talking. It's amazing.Other pros include having an AUX input for redundancy and better quality than Bluetooth (although even on Bluetooth this speaker sounds great). I like that it's waterproof so I can take it outside or keep it around when doing home renovation projects and not worry about my speaker. Battery life is great, and in my experience I get more than the stated 12 hours, which may be due to some of my use being at a low volume (playing instrumental music on my desk during the work day).This speaker looks sleek too! Very pleased with my purchase after using it the past two months and hoping it continues to last.","Reviewed in the United States July 1, 2024",AFJKOMGEIB3AWZGJQPG72JWJMUIQ,True,5,Color: Black
R1G6ONY83BAE6Z,B0BXW4KKXK,5.0 out of 5 stars Speaker of the year,Theodore Teich,5,"Ok well. I've had the bose 900, the klipsch rives, the Sonos Beam gen 2....looking for something that could give new life to music. As an audiophile once told me ""If it doesn't make you want to register to all your favorite music then it isn't the right equipment for you.""I agree. I wanted something that could sound could in an apartment but still give me depth and width and clarity. After watching a lot of youtube reviews I took the plunge.I was ready to be not that impressed, especially having had all the equipment listed above and and not finding an emotional connection to music through them.Well Sonos and Bose can suck it. This little speaker is better tuned for clarity than any of them and the dsp to simulate spatial audio is A+. I listened to tons of music 80s and 90s rock mostly. The clarity is very good and vocals come up out of the top speaker. I was astonished to hear guitars separated out in 3d.You will want to be in a square room with the speaker in the center so the spind bounces off the walls.I'm really thinking about negating a second to create a stereo pair. But honestly even just 1 speaker sounds amazing.It really makes me wonder why anyone pays for Bose or Sonos. I have annadrpid and you use the LDAC and youtube music and it sounds great.If Soundcore ever makes a soundbar I will probably buy it. Although I did you this to watch Manhunter on Amazon and paired it to my tvs bluetooth. Voices where clear and the soundtrack was awesome.It's really rare to be happy with a bluetooth speaker imo. And at this price the quality was unexpected. I think if you like the idea of spatializing your music than this is a no trainer.","Reviewed in the United States June 15, 2024",AF6FX4IODKBJTPTIHCE2CQDNKMZQ,True,0,Color: Black
R33JV6LWCYQ6UT,B0BXW4KKXK,4.0 out of 5 stars Good but not good enough,Joey Kot,4,"After owning multiple soundcore devices from ear buds, to speakers, their over-ear line and even parent company anker I’ve become accustomed to quality competitive priced products. The x600 is no different - the design is excellent and the plastic housing with metal handle feels well built. The sound, despite my expectations failed to live up to the HD audio certified tag and ultimately despite trying to fine tune I wound up returning the speaker. For its size, the bass is punchy when placed properly, the mids are a bit drowned and the highs get crunchy at time due in part to the spatial top speaker. Let me say that it is an interesting design and I hope they continue to pursue perfection on this because atmos/3D/360 audio is game changing as I listen on my 9.2.4 atmos theater system daily while working. This speaker however misses the mark, when the spatial is disabled the speaker gets muted severely. Missing highs and rumbling bass are all you get from it and for the price it doesn’t fulfill expectations. While the tiny speaker does impact the sound greatly - a good set of TWS speakers like the reasonably priced soundcore motion+ does a better job of sound stage isolation and frankly you can buy two of those for a price of one x600. Don’t get me wrong, this tech is cool and the speaker isn’t bad per say - it’s just not worth the current price tag of over a hundred seventy usd. It’s a hundred dollar speaker for sure, and you’d be best to spend money elsewhere or pick this up on sale. The associated EQ app is the best in the business and you can get this close to perfection up to medium level volume before the high sound kills the experience.","Reviewed in the United States May 19, 2024",AEU4QM6M252IYJLVIARY3YHJ3KHA,True,11,Color: Blue (Lunar Blue)
