review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R2I7GHB3AID4ZC,B078HG6WNX,5.0 out of 5 stars Loud little speaker,ryan barton,5,Bought for my son. He streams annoying music. Device works well and goes hours without needing a charge.,"Reviewed in the United States December 9, 2022",AF3STZDZPQGKO3QOXNPJTV4SF5GA,True,2,Color: White
R2NAV1PG8X5U68,B078HG6WNX,5.0 out of 5 stars You will love it,peter,5,As I got it I wasn’t surprised because it does say it’s a refurbish one but for the price it’s much cheaper then the original one at the store mine had a few scratches but nothing major came with everything the plug the cord it’s very loud didn’t think it would’ve been this loud but I’ve been playing it for 4 hours now nothing seems to be wrong with it works amazing I’m happy with my purchase,"Reviewed in the United States July 9, 2020",AFX5HZYMSVQMWCWCPF5VP2S4E6TQ,True,4,Color: Black
R36Q6CZ31TEQPF,B078HG6WNX,5.0 out of 5 stars 😍😍😍😍🔥🔥🔥🔥,Demetrius Murrell,5,I love it when it’s loud 🔥🔥🔥🔥🔥🔥🔥,"Reviewed in the United States December 6, 2023",AHRMB2TZPLUK2RAJEMZWGCRIKY7Q,True,0,Color: White
R30IVHICMBSLY,B078HG6WNX,5.0 out of 5 stars Bedroom Pill,Bernard Dume,5,"For the size of the speaker the sound quality is great, value was also great.","Reviewed in the United States February 9, 2022",AH5L5I37YC44CQU76RU6PJHY3U6Q,True,0,Color: Black
R1ZD1FQESOQBAO,B078HG6WNX,5.0 out of 5 stars Good product easy to use and very good quality,Joe Manson,5,Good in lieu of big expensive sound system,"Reviewed in the United States June 18, 2022",AFB5VVEXOTV6LCSJQ3YVYJGQVNBA,True,0,Color: White
R3EHPVV29L2J3P,B078HG6WNX,5.0 out of 5 stars Best,Unknown,5,I will always buy these,"Reviewed in the United States September 3, 2023",AE5TCKZY2SVLRN3RCN2UAY3GSD2Q,True,0,Color: Black
R2OZHMQKX6TPD9,B078HG6WNX,4.0 out of 5 stars Dropping some bass .....niiiiiiiiice,Mo headphones,4,Great for the desk as the music doesn’t throw very far....awesome bass.... weak on the audio output.... but again it’s for a desk.Excellent battery life as well. I get about 5 days using it about z4 to 6hrs a day,"Reviewed in the United States July 16, 2019",AG66HEYN2C5Q5EMQGMHXXBYJBCJA,True,8,
R37P02S6784B7X,B078HG6WNX,5.0 out of 5 stars Need more of them,JesseRamos,5,Would like to have another one at the price I pad for. Now the are out of control. Just sayin. But best speaker out there.,"Reviewed in the United States May 7, 2023",AELSJBJTBIZRA5HW64K6J3QODKDQ,True,2,Color: Black
R12T2VTQ4BTFQ3,B078HG6WNX,1.0 out of 5 stars Not as advertised,Sterling lewis,1,This item was defected. The charger port was damaged and the silicone strap that’s in the back was also missing overall terrible.,"Reviewed in the United States August 5, 2024",AFQU36TXRJKVSFXOHNLZR6PAZQVQ,True,0,Color: Black
RT192418IEHJE,B078HG6WNX,5.0 out of 5 stars Works Great,John Abatangelo,5,"Even though this is.refurbished , looks and works as good as new","Reviewed in the United States May 5, 2023",AGAYBV7BGPSYD6F4KUQW7DMCREVQ,True,1,Color: Black
R3P3ESSLT23F3J,B078HG6WNX,5.0 out of 5 stars It works perfectly!!!,Vincent,5,I love my pill!!!,"Reviewed in the United States May 10, 2023",AHNP3XYC25MI7E4ULXL7I35RDS7A,True,0,Color: Black
R3IY8CU28O3KNR,B078HG6WNX,5.0 out of 5 stars Perfecto,Jhordan,5,Me encanto el sonido,"Reviewed in the United States May 2, 2023",AHWDP6VKLEGW7KRS4ODHJJPISBBA,True,1,Color: Red
R2BO43EYP4N5LU,B078HG6WNX,5.0 out of 5 stars Love this speaker!,K Martinez,5,Purchased for my boyfriend and he loves it,"Reviewed in the United States April 2, 2023",AHGVPOFYUX2FHU26KDXRPA2VQSAA,True,0,Color: Black
R3GBVEMCX76VW3,B078HG6WNX,"5.0 out of 5 stars Easy to assemble, sleek and just all around a great product.",Amazon Customer,5,"Easy to assemble, sleek and just all around a great product.","Reviewed in the United States September 18, 2022",AGVHC5V37N7TQLOBAI2A7DLEW2NQ,True,1,Color: Red
R1HZ7SI906N0ZP,B078HG6WNX,3.0 out of 5 stars Nice size portable speaker,John,3,Listen to my music and my video games the battery life you get about seven hours there’s some Scratches but that’s to be expected considering it wasn’t brand new overall if I could do it again I would just save the extra Money and buy brand new,"Reviewed in the United States November 5, 2021",AEWDJNOZYUKJTLPSCYSEQB7WLHWA,True,0,Color: Black
R2RCGYM2PGMRIP,B078HG6WNX,5.0 out of 5 stars Like brand new,Aveanna,5,Plays loudly,"Reviewed in the United States January 11, 2023",AES4RJMBMJKIYINCSSOHBXQZXHHA,True,0,Color: White
R29QBRBVB7DY0I,B078HG6WNX,5.0 out of 5 stars Great deal!,Brooke Bray,5,I didn’t even realize this was the plus until I got it which is a huge PLUS (sorry had to). But I was a little nervous that it said renewed when purchasing. This was literally brand new with plastic still on the box! I either got lucky or they did a really good job at re-packaging this. Regardless I’m super happy with my purchase!,"Reviewed in the United States June 12, 2019",AEYYETZX3B23KQHJIXQQMVFTXP7A,True,21,Color: White
R3IP5HTFWMMXIN,B078HG6WNX,5.0 out of 5 stars Sounds incredible,Nswalden,5,I have been very impressed with this speaker. As soon as I opened the package I was able to use it right away. It sounds awesome and really puts out a lot of sound. Very happy with this purchase!,"Reviewed in the United States October 5, 2020",AFTF65YXIL6VONZJN73BR26RRWMQ,True,0,Color: Black
R1JCMP3YJZUHBZ,B078HG6WNX,5.0 out of 5 stars Great choice,Jennifer Gee,5,Exactly as ordered,"Reviewed in the United States August 14, 2022",AFXNZDV3ZJTYJL7ETVT7BNXANNHA,True,0,Color: White
