review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R2RM5WWO64U7B1,B07QK2SPP7,5.0 out of 5 stars Loud and Love it.,Amazon Customer,5,"Great buy for the price. While I wish it came with some type of case as the container it comes in is just solely for that, there aren't many cons to this device. It is small and it packs a heavy sound. Overall, the quality is great.The battery life also deserves some mentioning as it can lasts a long time without charge. I'd say at least 8+ hours. Buy it.","Reviewed in the United States July 23, 2024",AF6G66WPN4NP7OERBY6MAY6X7NEQ,True,6,Style: Flip 5Color: Black
R2IK77E0Q7YTWP,B07QK2SPP7,5.0 out of 5 stars Might be small but awesome speaker!!!,donna jenkins,5,"My husband bought one of these JBL flip 5 Bluetooth speakers when he was out of town working so his work crew could listen to music while working. Well when he came home I borrowed his to take to work, I am a nurse at a small nursing home and my residents love to listen to music they will come out of their rooms and sit at their doorways so they can hear my music from my flip 5 speaker that I sit on top of my med cart in the hallway and all my residents can hear such great quality music from such a little device. I will even dance in the hallway with them even if they are in wheelchairs or can stand. It is amazing what some good peppy music does for even the elderly people, I can see their whole attitudes change and the smiles on their faces are priceless. One resident that recently passed away from COVID, was sitting in her doorway months ago as I had my flip 5 on and music playing and I asked her who was her favorite musician or song and I like to fell out when this elderly Caucasian female said Michael Jackson and song was Billie Jean so I looked it up on my phone and played it for her and she was in a wheelchair but she still patted her foot to the music and tapped her hand and fingers on her table and at times I could hear her singing along and this made me so happy to do this for her we had a great time that Sunday afternoon and a memory I will never forget This awesome little cute speaker charges up quickly just a few hours and good to go and I have used mine for a whole 8 plus shift even if not playing music it would still be on and I have yet to hear any low battery beeps etc. My husband loves that they are waterproof because of him working outside in the dirt and rain. He said what sold him on buying one for him was a friend he worked with had one also and forgot his hanging on the basket on a line truck and the next morning he got it and had dirt and mud on it so he took it over to the water hose and washed it off and all the dirt and mud can completely off and the water didn't do anything to this flip 5 speaker he shook it as dry as he could get it then hung it back on his bucket on his line truck and turned it on and worked just as good as before. I say if u love music and love even sharing music with others this little speaker is highly recommended by me and my husband. It is simple to connect to his and my iPhones. The buttons on the speakers are very easy to press and can be easily seen on the speaker. Also the volume can be adjusted by my iPhone volume buttons too. It makes the cutest sound when connecting to my phone which tells me is is connected. Never had an issue with it disconnecting for no reason. The range is good that is the range that my cell phone is from the speaker never had an issue with that I play music on it and put my cell in my scrub pocket and I am up and down the hallways and in rooms with doors closed and music keeps playing. I can't think of one problem/issue or complaint about this JBL flip 5 speaker. Worth the money and my residents appreciate me spending this small amount of money for them to have some happiness in their day and I do too. My husband bought his from a person advertising a used one wanting to sell when he was up north working I think he bought his for $50 dollars but I always use my Amazon prime so in case I don't like something I buy or have an issue I can return free and free 2 day shipping. And not very much more did I pay here for mine. I got pink and it is a pale pink not bright pink. I like it. I don't know if my managers at the nursing home that I work at would care or not about me playing music over my speaker but even if they did I would probably still sneak and do it because of the reactions I get from my elderly confused residents the smiles on their faces is why I would go against what a manager tells me not to do and do it anyway. These residents don't get much joy to be honest esp since COVID and isolation since middle of March 2020. They are depressed because they can not see (except through a closed window in their rooms) and can not touch their loved ones we that work there and love everyone of our residents don't replace the touch and hugs ans kisses they would be getting from the people they love the most in this world their children and grandchildren and even great grandchildren we have had residents pass away and they and their families haven't seen or touched since COVID and these are precious memories they can never get back it is depressing to me and I play music to keep all our minds off this depressing situation we are in right now and this little speaker helps me do this and is powerful enough to be heard from my med cart all the way down hallways and inside rooms. So even the residents that are bedridden can still hear some good music. So if u like good quality sound that can come from a small well built Bluetooth speaker that won't break your wallet then please buy this one. It also has a rope handle that my husband uses to hang his off the side of his bucket and it be out of his way. He is a lineman and stands in a bucket with limited room up high off the ground sometimes all day long so the rope handle is strong enough to hang this Light weight speaker from a hook and no worries of it breaking. Also I have accidentally dropped my speaker out of my nursing bad onto the cement floor in the nursing home and scared me because I would have been sick if it had broke my awesome speaker but turned it on and worked as usual I dropped it outside in the parking lot and no issues. Hope my review helps you realize this speaker is a good buy and u will be happy u did buy this one. Thanks","Reviewed in the United States January 4, 2021",AH4CCKUJS5JCTKNTUC7KGI7ZBBYA,True,457,Style: Flip 5Color: Pink
R15CLS2P2U5M28,B07QK2SPP7,5.0 out of 5 stars Works great,Jay,5,This is easy to pair and has really good sound. Keeps a charge for a long time and very compact.,"Reviewed in the United States August 7, 2024",AH74F5FP4JN43BJDO2JYKM5O7VJA,True,1,Style: Flip 5Color: Black
RFFRITGSRAF1H,B07QK2SPP7,5.0 out of 5 stars Very happy with this little speaker!,agendreau65,5,"I've been debating on getting a portable Bluetooth speaker for quite a while and decided to finally pull the trigger. Got this today and am very impressed with the sound quality for the price. I'm pretty well versed in the audio world (used to sell home theater, headphones, Bluetooth speakers and car audio for 6 years) but this thing's the bomb digitty! It's slightly larger than a 16 oz can, doesn't weigh a lot but feels dense and solid and high quality. I'll be using this a lot. BBQ's, podcasts/music in the shower or doing stuff around the apartment. Fits in a cup holder for a lawn chair or car (if you have an old car with no bluetooth or your speakers are bad, etc..) it sounds pretty dang good for its size. I'd highly recommend if you're looking for something good for under $100.","Reviewed in the United States June 30, 2024",AHHJ4MUK2MK4NM43LI2VSUFTHI6Q,True,8,Style: Flip 5Color: Black
R2SZG3W3XWPWOB,B07QK2SPP7,5.0 out of 5 stars This is WAY better than JBL Flip 3,J Rizzle,5,"This Bluetooth speaker is the best bang for your buck. I had a JBL Flip 3 back in 2016 for my birthday and it was a cool little present that my homeboy back in the deployment gave me. I love the battery life and sound but the charging port got messed up and I can no longer charge the battery. So I bought a JBL Flip 5 and it came in the mail so quick, same day delivery. The bass and the sound quality is MILES away better, wow this is the best birthday present I bought for myself lol.","Reviewed in the United States July 5, 2024",AG5X5SGW7DPTFGEAMGLC7GEULWDQ,True,6,Style: Flip 5Color: Black
RQQ34PDX4DDBR,B07QK2SPP7,5.0 out of 5 stars Quality and reliability,Jim,5,"I was pleased with sound quality, ease of use, design, and simple setup. I would highly reccomend this item. I am also happy that it has a long run time and a high number of recharges. I am looking forward to using it at the beach without having to wonder how long it will stay playing and seeing the charge meter , indicating how much charge is left. We use a speaker up to 6 hours in a day and the two we were using never held up for that long and did not provide the sound quality this one offers.","Reviewed in the United States July 27, 2024",AGQT444DXRFJZEGELBKW3RB4MXUQ,True,2,Style: Flip 5Color: Black
ROGH8XLOKVDZB,B07QK2SPP7,4.0 out of 5 stars Buy it!,Hope P.,4,"I have an older car and my radio broke so I needed to buy a speaker. The sound and base is great, actually louder than my car speakers were. Only problem is the battery life doesn’t last very long. But I appreciate the sound and easy Bluetooth connect, and it also comes in a styrofoam box you can keep it in when you’re not using it. Great for the price.","Reviewed in the United States July 7, 2024",AG53FKP5BOCVJGWUXN7WP6L2MX5A,True,8,Style: Flip 5Color: Eco Green
R2MPMERH78XX9M,B07QK2SPP7,5.0 out of 5 stars Great speaker!,Amazon Customer,5,Could not have been easier to setup and connect. Took less than 3 minutes after we let it fully charge. Sound is fantastic for such a small device. Buttons all makes sense and everything is easy to operate. This is used in a busy commercial kitchen and is perfect. Portable and durable to throw in a bag and use at the beach. Love it.,"Reviewed in the United States June 30, 2024",AGQMTO27OPTPWFIM2TIRPKNDV7OQ,True,7,Style: Flip 5Color: Black
R2A8PC4075BC2E,B07QK2SPP7,5.0 out of 5 stars Wonderful Sound...,Symone191,5,"Let me begin by saying that I am not a bells and whistles type person. my focus is the quality I receive from a product I purchase. When I purchase a car, I could care less if the seats heat up or if it's slick and flashy. Those things are nice, but my goal is to not have to constantly take my vehicle for repairs after I've finished making the payments. So, I don't care that this speaker doesn't light-up or have bells and whistles. What I like about this speaker is that the sound is awesome. I was pleasantly surprised that a speaker this small could pack such a big punch. I think you will be pleasantly surprised with the sound and the quality. I opted to pay a couple of dollars more and purchase the black, since it will be used outdoors. Try it. If you don't like it, you can always return it.","Reviewed in the United States August 1, 2024",AFDWQCARETPTIZGIEORWR4Y7KRVQ,True,0,Style: Flip 5Color: Black
R2FI142WGBY7UA,B07QK2SPP7,5.0 out of 5 stars AMAZING,Amazon Customer,5,This speaker is awesome. I bought it for my daughters grad party outside. We put it on our top deck and it sounded like a full stereo system. The base on this thing is amasing. I left it outside last weekend on our deck and forgot about it. It stormed the next night and i found it out there on Monday and I was so mad at myself. Im listening to it right now and this thing is great! Buy it! The boom is awesome! Buy it!,"Reviewed in the United States August 2, 2024",AGQJUBOTHGJEZRGMEHOM5Y26EA6A,True,0,Style: Flip 5Color: Black
