review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RYPMHM7MGX1V0,B09KX6RT7Q,5.0 out of 5 stars It's small but packs a punch,sosayspennylane,5,"As an avid traveler, I've been searching for a compact speaker that delivers impressive sound quality without sacrificing portability, and this speaker exceeds all expectations.First and foremost, the size of this speaker is perfect for travel. It's compact enough to toss into my bag or backpack without adding extra bulk or weight, making it ideal for adventures on the go. Despite its small size, the sound quality is phenomenal, with big bass and 360-degree sound that fills the room.I'm also blown away by the durability of this speaker. Its waterproof and dustproof design means I can take it virtually anywhere, from poolside parties to beach outings, without worrying about damage. Plus, the fact that it's floatable adds an extra layer of convenience for outdoor adventures.The Bluetooth connectivity is seamless and reliable, with a range of up to 131 feet, allowing me to stream music from my device with ease. I love that I can control playback and volume directly from the speaker, making it simple to adjust settings on the fly.Overall, the Ultimate Ears WONDERBOOM 3 is the perfect travel companion for music lovers. It's small but packs a punch, delivering impressive sound quality and durability in a compact package. Whether you're lounging by the pool or exploring the great outdoors, this speaker is sure to enhance your experience. Five stars all the way!","Reviewed in the United States February 12, 2024",AGH62UUHMMOSEJPZP3DBQN67WW5A,True,12,Color: Joyous Brights GreyStyle: Wonderboom 3
R1JY4S66T5RW83,B09KX6RT7Q,"5.0 out of 5 stars Ticks all my boxes, here's how to pair!",Erica T.,5,"The media could not be loaded. So I bought two of these speakers on a whim during Black Friday having never bought a wonderboom product before, and I can say now that it was 100% worth it. I really like the big volume buttons so it's not a tiny surface when you're pressing down, I also really like that they are water resistant so I don't have to worry about changing the volume while washing dishes or hanging it out of the spray when showering. I've also spilled the glass of water on the same surface and there has been no problems. The hoop is stretchy but I like to have a carabiner on it to make attaching it to other things simple and to have a primary speaker I easily identifiable. Having a primary speaker is important for pairing, your primary will be the speaker that has a connection through your phone, so if you only want to grab one speaker having the primary easily identifiable is nice so you don't have to go through repairing things, which isn't necessarily hard but it's much simpler this way.The sound quality isn't astounding but it's good and despite being small it can get pretty loud, I've yet to use them at full volume. I'm really happy with how long the charge lasts, I don't find myself recharging them very often though I use them daily, and when I do it only takes a few hours. Ultimately very happy with these speakers!","Reviewed in the United States April 18, 2024",AEJPPR5H7GRCHR4VDOF4WCBDO7NA,True,14,Color: Hyper PinkStyle: Wonderboom 3
R1TKQD9QA2NAZG,B09KX6RT7Q,5.0 out of 5 stars Amazing Sound in a Small Package!,Rahil Mehta,5,"The Ultimate Ears WONDERBOOM 3 is awesome! The sound quality is fantastic with big bass and 360-degree sound. It’s perfect for outdoor use since it's waterproof, dustproof, and even floats. The Bluetooth connection is solid, and it’s super portable. Highly recommend for anyone looking for a great portable speaker!","Reviewed in the United States June 19, 2024",AELBYNAWWS2VCWF4IZCDS4HUHGVA,True,3,Color: Active BlackStyle: Wonderboom 3
R1DPX07OIECPI8,B09KX6RT7Q,5.0 out of 5 stars Perfect Speaker,taylor stover,5,Worth the money & I highly recommend! We wanted a speaker for our backyard/patio for spending time with family and this speaker is absolutely perfect. The appearance of it is deceiving because it sounds like a large sound system with a bass! I use it indoors too and I don’t have to turn it up the full way either and it’s heard through the entire house. I have not tested it in water yet. Charge last a few days! Bluetooth!,"Reviewed in the United States June 9, 2024",AG7J6LKIE26NJ2U2WIIAKQSQYLKQ,True,2,Color: Joyous Brights GreyStyle: Wonderboom 3
R2TA1MPVVJXG7N,B09KX6RT7Q,5.0 out of 5 stars Doesn’t do quiet,shaleigh,5,Small but mighty. Instructions were simple. It looks clean and well made. Haven’t gotten to test the battery too much.,"Reviewed in the United States July 17, 2024",AEF537UH5PZL3L2SCC3VPT4LN5KA,True,1,Color: Joyous Brights GreyStyle: Wonderboom 3
R30Z2QO8NK4CQ5,B09KX6RT7Q,4.0 out of 5 stars Sound Quality Great. Not Party Up Compatible,DivaJe,4,"The sound quality is great, love the size and portability and the price point was decent. Haven't tested the waterproofness and don't intend to.The only reason it is not rated 5 stars is because it's NOT compatible with the ""party up"" setting on the ultimate ears app.","Reviewed in the United States July 10, 2024",AE7YS2FLN3DAJKW3CWVCBBVRIKZQ,True,3,Color: Active BlackStyle: Wonderboom 3
R36P99L7UCS2CF,B09KX6RT7Q,"5.0 out of 5 stars Great sound, charge lasts forever",Amazon Customer,5,"Great sound, charge lasts forever. It’s easy to connect. I’ve taken it outside for a party, on a boat, and into a hockey locker room. It’s great for all things! It packs a big punch with sound!","Reviewed in the United States July 31, 2024",AHYZ3MWOUJXKZPTLFGKX4G7CS7KQ,True,0,Color: Active BlackStyle: Wonderboom 3
R2MNPFP6NLZ695,B09KX6RT7Q,"5.0 out of 5 stars Very good, but no previous track feature",Amazon Customer,5,"Just a very good portable speaker - good sound, good base, convenient shape and control. One thing that is missing is a thing to skip to the previous track, like a triple tap would do on many other devices.","Reviewed in the United States June 25, 2024",AFLSNUXCEPPETBOCJW2SHXS45M5Q,True,0,Color: Hyper PinkStyle: Wonderboom 3
R2JDZJNH6TKWC,B09KX6RT7Q,5.0 out of 5 stars I love it! Easy to pair (set up),SeattleStar,5,"I like the ease of pairing. I had to check the HP Bluetooth settings on my PC more than anything else. So easy. Plug and play kind of installation. Sound is great, but I’m not an audiophile. Just an 80-year old with a desire to take the 70s tunes with me around the house and yard. And discover all the new stuff and podcasts with my Amazon Music subscription. The appearance is nice too. Not sure why gray was so much more expensive than the black or blue, but it fits into my apartment style. Lots of good reviews out there. This is one more. Recommend this Bluetooth portable speaker for ease of set up, good sound and for being as advertised. Hoping I continue to have a good experience. If anything changes, I can always update this review.","Reviewed in the United States July 3, 2024",AEZKZEA3FNAYZ2X3Z37PZYFVASEQ,True,2,Color: Joyous Brights GreyStyle: Wonderboom 3
R2PKHXLWM6MPP3,B09KX6RT7Q,5.0 out of 5 stars My second UE speaker,Josephina Schneider,5,I have the UE Hyperboom that I love. But I needed a small speaker to put in my suitcase that I can just listen in the hotel room. After watching reviews on You Tube I was trying to decide between JBL Clip 4 and this one. I’m glad I got this on sale during Prime Day. This little speaker is AMAZING! love that it’s light and you can hear it 360 degrees. I cranked it up 100% and sound quality is perfect for the size.,"Reviewed in the United States July 18, 2024",AHLEQP6NLCXJRS3RW7DW2PMSDYJA,True,0,Color: Hyper PinkStyle: Wonderboom 3
