review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RCGV5NMTHKPPC,B07T5GGR8L,5.0 out of 5 stars Great Value Soundbar,Lance Hough,5,"I've now had this sound bar for just under four years. It is still performing wonderfully, still sounds great, and still works just as well as the day I took it out of the box. The sound quality is surprisingly good for the price you pay. Is it perfect? No? Will it hold up to a unit that's 4x the price? Not even kinda. But is it better than the speakers on your standard consumer-grade flat-screen TV? You better believe it. Better by a mile. It has several different sound modes depending on what you're watching, easily connects to your Bluetooth devices to play music, and offers very simple connection to your TV. The remote is crap, but you likely won't need it anyway. Most TVs now come with programmable remotes that you can use to control the basic functions of the soundbar. I use the Yamaha Soundbar app to control the more detailed features as it's easier and more clear visually. It gets plenty loud and does not distort or crack in higher volumes. I have noticed that when watching OTA broadcast TV (read: not through a cable box or streaming device), TV shows that feature live music performances are particularly challenging for this soundbar. The vocals during songs are always totally buried. However, watching music videos, streaming music, or watching concert videos seems to be fine. It's a strange issue, but there's no doubt it exists. And I've tried multiple modes with no success. But it's a minor issue comparatively. I'm very happy with this unit and will continue to use it until one of us stops working.","Reviewed in the United States July 26, 2024",AG2LX62LCZ3EQYIZNIAV2D3O7H2A,True,1,Style: YAS-109BL
RRQ3MWB3BY1AJ,B07T5GGR8L,5.0 out of 5 stars Easy setup,Bruce Turner,5,"Nice sounding soundbar with subwoofer. Easy set up with arc cable. You should have a new style hdmi cable that has the arc wires updated. Old hdmi doesn’t work too well/ old cables cut on / off / weird stuff.. The sound is ok for a small to average room, not too powerful for a large area. A easy & great way to update your tv speakers..you should un enable the auto off for 8 hours. It’s easy. Arc cable allows the tv to control the on/off/ sound level. Only one control.love that the subwoofer is wireless and auto connects. Great build quality, looks nice, good buy under $160.00……..","Reviewed in the United States July 6, 2024",AHD545A2EY5HAHA56M2QIKZAU6XA,True,2,Style: YAS-209BL
R50V9T04DPPMV,B07T5GGR8L,4.0 out of 5 stars Tough to beat for the price!,Joe,4,"I am working on transforming part of my basement into a semi-finished space for a small exercise room. Sound off of a TV's built in speakers isn't going to cut it, so I needed a better solution.I wouldn't consider myself an audiophile, but I do appreciate good sound. I have a bunch of conventional receiver/speaker setups throughout the house - several 2.0 systems and a 5.1 in the living room.In this basement application, I wanted something simpler and cheaper. I compared this Yamaha setup to a similar Polk and Klipsch sound bar/sub combination. I have had positive experiences with all three brands, but ended up choosing the Yamaha mainly due to the killer price.The subwoofer was a little bigger than I expected for a 6.5"" unit, but not big enough to be an issue in my intended location. One oddity with the bar itself - the mounting holes aren't 16"" on center even though they easily could have been. I mounted it to a cedar plank wall and fortunately I still had the back side open and was able to add a couple 2x4s between studs to provide a more solid mounting point. On sheetrock, I think you'd be okay with good sized anchors since it isn't terribly heavy but it would still be better if Yamaha had gone with a standard 16"" spacing to allow for hitting studs.The unit powered up right away and was relatively easy to add to my wireless network. It is 2.4 GHz only, like many smart home devices but this is okay for me. 2.4 GHz could have interference issues in a dense apartment building, however. The app is okay - it seems they should have fit more controls on one page, but I don't anticipate using it much.I immediately queued up some songs on Spotify to try it out. It played over the network without an issue. Rating the sound quality depends on what you're comparing it to. If I compare it to the RCF Monitors in my garage or my Yamaha driven Polk 5.1 setup in the living room it's not even close, but I wasn't expecting it to be given the huge difference in price. Compare it to a solid set of 2.1 computer speakers at a similar price point, though, and it'll absolutely blow them away. I unfortunately can't compare to other sound bars since I have limited experience with them.For this application, it's plenty. Music does sound good - the bass is solid for a 6.5"" subwoofer, and the mids/highs are better than expected for such a compact unit. I've been using it while I continue remodeling the basement and I'm happy with the sound quality. I leave it set on stereo as other modes seem somewhat artificial to me.I did run into an issue with Bluetooth - I could not get it to appear as an option no matter how hard I tried. I performed a factory reset and that fixed the issue. Otherwise, it's been working very reliably.Bottom line: If you're looking for a secondary system in a basement or bedroom, this should suit your needs very well. For a small to medium sized living room, it would be acceptable and a whole lot better than TV speakers if you aren't willing to invest in a 5.1 or 7.1 system. For the price, it's tough to go wrong.","Reviewed in the United States April 23, 2023",AHVSNGUVQK35ZGUQB5IBMC4H6XDQ,True,28,Style: ATS-2090BL-R
R3KSST9OWGJLEJ,B07T5GGR8L,5.0 out of 5 stars Built-in speakers on today's TV are horrible. This Yamaha soundbar is so much better.,Tyson B.,5,"I received this ATS-2090 soundbar from Yamaha in renewed condition. It arrived professionally repackaged, in custom formed protective styrofoam and each major component in a sealed plastic bag. The only piece which showed any evidence of prior use was one of the two power cords. The twist tie used to secure it was slightly distorted. No parts or documentation were missing.The firmware on the unit was out of date, but the sound bar automatically updated itself as soon as it was connected to my home WiFi network. I might comment that it (the soundbar) only supports 2.4GHz wireless networks. There is no 5GHz WiFi support. I had no problems installing the app on my iPhone, and I find the app easy to navigate and extremely useful.The sound quality is so much better than the built-in speakers on my bargain 40"" flat panel TV. I knew the built-in speakers were bad, but after enjoying this sound bar it would be impossible to go back. I did adjust the bass level to +0 (it is set to +3 as a default) and I turned off the ""bass extension"" option using the app. With these adjustments, the bass from the wireless subwoofer integrates reasonably well and really accentuates most any TV program or movie soundtrack. I do have the wireless subwoofer located a few inches away from the wall, near a corner of the room, and just behind the TV itself.The actual connectivity took a little bit of experimentation. This is not a problem with the soundbar itself, but rather a consequence of the technology. My TV does not have an ARC capable HDMI connection. I am currently using the HDMI pass-through feature of the sound bar, and I have not connected the optical cable. My TV input comes only from an Android TV device, which streams content from a DLNA server, as well as Netflix, Hulu, Disney+, etc. The pass-through works perfectly for this application. It will still require a small learning curve for my family to become accustomed to turning the soundbar on prior to use, or perhaps I will need to defeat the auto power off feature (as described in the manual).I did experiment with the CEC settings on my TV to prevent devices from turning on or off unexpectedly, and I think I also needed to set the HDMI audio output setting on my Android device to PCM, Dolby Digital, or DTS. This is all noted in the Yamaha documentation. Again, further trial & error with CEC settings may be helpful, as it would be nice if the sound bar faithfully turned on & off with the TV.I would definitely purchase this sound bar again, especially at the renewed price. I'm considering buying a second for the TV set in the rec room... can I run two of the wireless subs in the same household without problems? Highly recommended.(10/18 - edited for grammar and writing style)11/20 - Owned for over a month now. I’m still extremely pleased. There’s been no weird situations where “it just stopped working” or anything like that. Totally would buy again.","Reviewed in the United States October 16, 2021",AEC4TPE7JLS2HPABNPL7TG7F2CGA,True,41,Style: ATS-2090BL-R
R2K34ZPFT3QAWQ,B07T5GGR8L,1.0 out of 5 stars Not recommended! Stopped playing audio 3 months after I bought it,mikeg77,1,"Edit: I previously replaced one of these for it stopping working within a few days; this one crapped out on me in 3 months. I was originally passing HDMI signal through it with my AppleTV providing content. It no longer passes through video, and using ARC it no longer plays audio through the speakers. This item responds to the remote control, but it doesn’t do what it’s supposed to: play audio. Recommend “Do Not Buy”I’ve had this sound bar for about a week now, and something I’ve noticed is that the sound can drop out for a half second on streaming video. I have an AppleTV passing through it to a Sony Bravia LED. When the sound drops out for a little longer, the screen shows that the TV is switching to internal speakers. I don’t think this is a cable issue, but I’ll try replacing them.The device is described as providing a voluminous experience, but so far that’s not the case. It doesn’t use a calibration microphone like most Yamaha surround receivers would so it doesn’t do any sort of beam forming to provide surround sound. The built in sub capability is anemic. The sound bar has a sub out, so I have it hooked up to a 12” Klipsch sub and that helps out quite a bit.It only has one 1 HDMI input, so my PS4 may have to get run through a switch, or I’ll connect the PS4 and AppleTV directly to the TV and use the ARC to the sub.I don’t have much use for the built-in Alexa capability as I have a bunch of Echo’s around the apartment, so I can’t really review that.The system is extremely simple though, which is something I like over my previous configuration of running speaker wires; in my new apartment I don’t have a spot to put the rear surrounds anyway. The remote is very straight forward and only has 17 buttons plus 2 directional buttons (subwoofer and volume).The sound quality is overall pretty good, and it can get pretty loud. The 3D Surround function seems to increase the number of channels accessed and output through the speakers. The Clear Voice function definitely increases the volume of voices, but I note a bit of hiss/noise during dialog.That’s all I’ve got for now. Again, good for small spaces, uncomplicated set up, good value. It’s no replacement for a surround sound system, of course. Will edit if I have any other problems.","Reviewed in the United States August 30, 2019",AHVXK7IZOWG2R3SMWLKAS4SHOPZA,True,79,Style: YAS-109BL
R3ULQY922SDP3Y,B07T5GGR8L,5.0 out of 5 stars A unit that allows auto shutoff disabled!,William A. Ryder,5,"Ok here's what you should be looking for that I couldn't find anywhere. This unit *does* allow the stupid energy star auto shutoff to be disabled! Yes it sound quality is great for the price point. ARC works well.But I bought it to replace a JBL Soundbar 2.1 which after about 5 minutes of no sound, like when looking for a video on youtube via Roku, the soundbar shuts off! Now I need to duck around with the TV and the bar to turn it back on once I figure out why my volume went up so high (because it's the TV speakers). Believe me you do not want all this. It's unusable! And JBL will NOT let you turn this ""feature"" off. Any manufacturer who forces this situation is producing unusable GARBAGE.Then you go try to find in stated features where anyone else will let you shut it off. It's very hard to find out. It's like they don't want you to know, or to advertise, if a manufacturer builds in a way to disable this energy star auto shutoffoff because the energy police might come get them. I'm the first one to care about the environment but if it causes you to be forced to buy equipment that just doesn't work adequately, what's the point? Just ban the equipment then. Don't make us spend hundreds of dollars just so we can pull all of our hair out everyday when the stupid thing shuts off in the middle of normal use.So this Yamaha *does* allow the stupid auto shutoff to be disabled. It's working flawlessly with my new Sony x900h. It turns on and off with the TV using HDMI ARC which is exactly what you want and expect. And that's it. Simple. Effective. Worth the price.The only other I found that do this for sure seem to be the Bose units...but you're going to pay way up for those. There are a long list of manufacturers like JBL that don't let you disable anything about energy star...and so they will shut off on you and you just have to like it I guess. Heck with what the consumer wants. So if you want to find out who supports or not the only way I've found is reading owner's manuals to see if the setting is there. Most I checked don't have it.Buy this Yamaha if you just want to be safe and don't want to deal with all that kind of crap. I'm confirming for you that Yamaha gives you the control you want. And if you want a brand new nice sounding JBL unit for real cheap drop me a line. It made me cry for letting me down like this. Thank goodness for Yamaha.","Reviewed in the United States November 16, 2020",AHMBPHTL62BV6G6UXCD3DAPWLHHA,True,57,Style: YAS-209BL
R3CQ72Z3XXJ410,B07T5GGR8L,3.0 out of 5 stars OK soundbar. Only real option if you want to use an existing subwoofer and also want ARC.,AmazonUser,3,"I had recently upgraded to a 4k TV and had an old vizio soundbar that worked just fine but upon receiving the new tv, found that I would have to use 2 remotes which I absolutely did not want to do. I have the Polk Audio PSW10 subwoofer and wanted to continue using it as I really like the deep punch it has for movie action scenes. Many of the new soundbar packages don't allow an additional subwoofer option and the included sub seems inferior - typical seems to be 6"".Based on these criteria, there were not a whole lot of options available - a soundbar with a sub pre-out and HDMI ARC to enable the one remote option.So I settled on the YAS-109. Through some trial and error I found that the best settings (along with the additional sub) were Clear voice On, TV mode, subwoofer set to -1 and bass ext off.Other than not being able to get very loud compared to my old soundbar, they do the job alright. I just watched Shang-Chi and the Legend of the Ten Rings in 4k; turning it up all the way and during action scenes, it almost makes me feel like I'm at a theater. The soundbar didn't give out at high volume and remained crystal clear. If however, I move to the kitchen 20 feet away, I wish I could turn up the volume more. Max volume is just not loud enough. My older Vizio soundbar got much louder but did choke at high volume. Perhaps they capped it on purpose knowing full well that the small speakers would not be able to handle anything louder.For the cons, the soundbar's speakers are so tiny that the 'subwoofer' is just a marketing gimmick. If turning up the soundbar's subwoofer at all, it just cannot handle the bass and makes any speech drowned out & woofy. If anything they should have called them drivers. Just by adding an air port doesn't qualify them being called a subwoofer; subwoofer is misleading.The other huge con is the 3d surround option. It is just so laughably bad. No clue how that got greenlighted. Turning it on makes the sound 'appear' wider but it loses all bass and sounds tinny like the speakers within the TV itself. It would have been nice to have the same bass and sound response as without it- but just appear to sound wider; my old vizio soundbar from 2008 had this option and performed so much better in this regard.I also don't really get the sound profiles. Game, Movie and Music have an echo but TV doesn't. Really weird.I can't comment on the Alexa option because we already have another Alexa speaker close by and didn't want them competing so turned the mic off. I also did turn off the power save option so it wouldn't go to sleep. It does turn off when I turn the TV off which is nice.For the current options out there right now, this sound bar is OK. It does the job and fulfilled my criteria. Does it blow me away? lol no. It doesn't have any of the new tech like DTS X or Dolby Atmos but then again it cost a fraction of the price as the ones that do so I can't complain re that.I think a good price point for this speaker is ~$150; abouts what I paid for it. Wait for a sale or try to find it used - like new (damaged box or return but still new). Definitely not worth the $220 new it's going for now.","Reviewed in the United States December 29, 2021",AGII3DOANTJUWG7DBMMAB2EFAZRA,True,23,Style: YAS-109BL
R2GUQQHN9VL8LF,B07T5GGR8L,5.0 out of 5 stars Great sound,Cesar1833,5,"Used this with my 75” samsung, the sound is so much better and the 3d sound is great! The one dislike is the remote uses a watch battery and there seems to be no way to change it? Aside from that its good! Clear sound blue tooth is great for the sub woofer to be wireless and the bass is great almost feel bad for my downstairs neighbor when i watch a movie or play COD with the gunfire going off…","Reviewed in the United States July 29, 2024",AF2MXMI7MYTARBLQCVE3JODDYOOA,True,0,Style: YAS-209BL
R2O40XIY9Z1CVT,B07T5GGR8L,5.0 out of 5 stars Great bang for the buck,DDK,5,"This soundbar produces great sound quality for being a 2.1 channel system. It is very good with TV dialog and movies. Where it excels though, is in streaming music. The bass is strong and it does a pretty good job of producing3D surround. I feel I got a product that sounds way above the sub $200 price point. Very pleased.","Reviewed in the United States July 26, 2024",AFUPUSOCE3CWESBTNOOYKAXRONIQ,True,0,Style: YAS-209BL
R25DC6AJJIAU9D,B07T5GGR8L,4.0 out of 5 stars Great Sound But Won't Stay Connected,Tanya Algee,4,The sound is very good considering what it is. The only issue I have is that I have to reconnect it to my Samsung TV every time I turn the TV on. For some reason the TV always goes back to the internal TV speakers. Not a deal breaker but definitely annoying!,"Reviewed in the United States June 11, 2024",AGUUMYFUWNP3VVDC7THCBWFPLCMQ,True,0,Style: YAS-209BL
